09678009	Organism	\N	Haemophilus sputorum (organism)	Haemophilus sputorum	\N	\N	\N	\N	\N	\N	3/31/2023	\N	Depecated in V2.70, Use equivalent SNOMED 709678009	\N
10015007	Organism	\N	Eimeria arkhari (organism)	Eimeria arkhari	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
10021006	Organism	\N	Rahnella aquatilis (organism)	Rahnella aquatilis	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
1002222004	Organism	\N	Tissierella carlieri (organism)	Tissierella carlieri	\N	\N	\N	\N	\N	\N	12/10/2020	\N	User Requested Addition V2.41	\N
100311161000087105	Organism	\N	Salmonella enterica subspecies enterica (I) rough:b:- (organism)	Salmonella enterica subspecies enterica (I) rough:b:-	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.40 (SNOMED)	\N
1003795002	Organism	\N	Acinetobacter baumannii group (organism)	Acinetobacter baumannii group	\N	\N	\N	\N	\N	\N	6/29/2023	\N	User Requested Addition V2.74	\N
10049004	Organism	\N	Streptococcus ferus (organism)	Streptococcus ferus	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
100621441000087101	Organism	\N	Extended spectrum beta-lactamase producing Klebsiella oxytoca (organism)	Extended spectrum beta-lactamase producing Klebsiella oxytoca	\N	\N	\N	\N	\N	\N	\N	2025-01-16	Deprecated in V2.89 - Use equivalent SNOMED 713928005	\N
100671651000087104	Organism	\N	Halomonas species unspecified (finding)	Halomonas species	\N	\N	\N	\N	\N	\N	2011-12-12	\N	Deprecated in V2.98 - Use equivalent SNOMED CT 114046004	\N
100819661000087100	Organism	\N	Coxsackievirus A 35 (organism)	Coxsackievirus A 35	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.40 (SNOMED)	\N
1009003	Organism	\N	Salmonella Oakland (organism)	Salmonella Oakland	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
10091000087105	Organism	\N	Bacteroides nordii (organism)	Bacteroides nordii	\N	Bacteroides nordii	\N	\N	\N	\N	9/20/2013	\N	User Requested Addition V1.51	\N
10094005	Organism	\N	Entamoeba apis (organism)	Entamoeba apis	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
10096007	Organism	\N	Salmonella Leoben (organism)	Salmonella Leoben	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
10101000087100	Organism	\N	Aspergillus nomius (organism)	Aspergillus nomius	\N	Aspergillus nomius	\N	\N	\N	\N	9/20/2013	\N	User Requested Addition V1.51	\N
1010346008	Organism	\N	Actinobacillus pleuropneumoniae serotype 1 (organism)	Actinobacillus pleuropneumoniae serotype 1	Actinobacillus pleuropneumoniae bv 1	\N	\N	\N	\N	\N	2025-03-13	\N	User Requested Addition V2.91	\N
1010349001	Organism	\N	Actinobacillus pleuropneumoniae serotype 2 (organism)	Actinobacillus pleuropneumoniae serotype 2	Actinobacillus pleuropneumoniae bv 2	\N	\N	\N	\N	\N	2025-03-13	\N	User Requested Addition V2.91	\N
101076971000087109	Organism	\N	Yersinia enterocolitica, biotype 1B serotype O: 8 (organism)	Yersinia enterocolitica, biotype 1B serotype O: 8	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.36	\N
10108001	Organism	\N	Giardia cati (organism)	Giardia cati	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
10111000	Organism	\N	Vibrio aestuarianus (organism)	Vibrio aestuarianus	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
10111000087103	Finding	\N	Shewanella algae and/or Shewanella putrefaciens (finding)	Shewanella algae and/or Shewanella putrefaciens	\N	Shewanella algae/putrefaciens	\N	\N	\N	\N	2013-09-20	2025-01-16	Deprecated in V2.89 - Use equivalent SNOMED 702986006	\N
10112007	Organism	\N	Salmonella Alamo (organism)	Salmonella Alamo	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
10113002	Organism	\N	Leishmania aethiopica (organism)	Leishmania aethiopica	\N	\N	\N	\N	\N	\N	\N	\N	Added in v.1.35 (SNOMED)	\N
10121000087106	Organism	\N	Extended spectrum beta-lactamase producing Shigella sonnei (organism)	Extended spectrum beta-lactamase producing Shigella sonnei	\N	ESBL- Shigella sonnei	\N	\N	\N	\N	9/20/2013	\N	User Requested Addition V1.51	\N
